Nxt       STR  DEF   MAG  MGR   SPD   
50        5    4     10   8     4                               
84        5    4     11   8     4        
132       5    4     12   9     4          
195       5    5     13   9     4         
274       5    5     14   10    4            
373       6    5     15   10    5           
492       6    6     16   11    5              
633       6    6     17   11    5           
798       6    6     18   12    5                
990       6    6     19   12    5              
1209      7    7     20   13    6             
1458      7    7     20   13    6              
1738      7    7     21   14    6              
2052      7    8     22   14    6            
2400      7    8     23   15    6              
2785      8    8     24   15    7              
3209      8    9     25   16    7                  
3672      8    9     26   16    7                  
4177      8    9     27   17    7                     
4726      8    10    28   17    7                   
5320      9    10    29   18    8                   
5961      9    10    30   18    8                 
6651      9    11    30   19    8                
7391      9    11    31   19    8                 
8182      9    11    32   20    8                 
9028      9    12    33   20    9                   
9929      10   12    34   21    9                  
10886     10   12    35   21    9                  
11902     10   13    36   22    9                
12979     10   13    37   22    9                     
14117     10   13    38   23    10                     
15319     11   14    39   23    10                   
16586     11   14    40   24    10                        
17919     11   14    40   24    10                     
19321     11   15    41   25    10                      
20793     11   15    42   25    11                          
22337     12   16    43   26    11                     
23954     12   16    44   26    11                        
25645     12   17    45   27    11                       
27413     12   17    46   27    11                        
29259     12   17    47   28    12                      
31185     12   18    48   28    12                        
33192     13   18    49   29    12                        
35282     13   18    50   29    12                            
37456     13   19    50   30    12
39176     13   19    51   30    13                                
42063     13   19    52   31    13                           
44500     13   20    53   31    13                                   
47028     14   20    54   32    13                            
49647     14   20    55   32    13                                 
52361     14   21    56   33    14                             
55169     14   21    57   33    14                                    
58075     14   21    58   34    14                                    
61079     14   22    59   34    14                                        
64184     15   22    60   35    14                                          
67390     15   22    61   35    15                                
70699     15   23    62   36    15                                          
74112     15   23    63   36    15                                     
77632     15   23    64   37    15                              
81260     15   24    65   37    15                           
84997     16   24    66   38    16                                    
88845     16   24    67   38    16                                    
92085     16   25    68   39    16                                     
96879     16   25    69   39    16                                           
101069    16   25    70   40    16                            
105375    17   26    70   40    17                                  
109800    17   26    71   41    17                                   
114346    17   26    72   41    17                                      
119012    17   27    73   42    17                         
123802    17   27    74   42    17                                     
128716    18   27    75   43    18                                
133756    18   28    76   43    18                                  
138924    18   28    77   44    18                               
144221    18   28    78   44    18                                
149649    18   29    79   45    18                                  
155209    19   29    80   45    19                                      
160902    19   29    80   46    19                              
166731    19   30    81   46    19                              
172696    19   30    82   47    19                                  
178799    19   30    83   47    19                                
185042    20   31    84   48    20                                   
191246    20   31    85   48    20                                  
197953    20   31    86   49    20                                    
204624    20   32    87   49    20                                             
211440    20   32    88   50    20                              
218403    21   32    89   50    21                                
225515    21   33    90   51    21                                                                                   
232777    21   33    90   51    21                                                                     
240191    21   33    91   52    21                                                                          
247758    21   34    92   52    21                                                                         
255479    22   34    93   53    22                                                                           
263356    22   34    94   53    22                                                                         
271390    22   35    95   54    22                                                                                    
279584    22   35    96   54    22                                                                            
287938    22   35    97   55    22                                   
296453    23   36    98   55    23                                       
305132    23   36    99   56    23                                       
313976    23   36    99   56    23                                        
 
