Nxt       STR  DEF   MAG  MGR   SPD   
50        5    4     8    10    4             
84        5    4     9    11    4         
132       5    4     10   12    4          
195       5    5     11   13    4          
274       5    5     12   14    4          
373       6    5     13   15    5           
492       6    6     14   16    5            
633       6    6     15   17    5             
798       6    6     16   18    5              
990       6    7     17   19    5              
1209      7    7     18   20    6             
1458      7    7     18   20    6            
1738      7    8     19   21    6              
2052      7    8     20   22    6             
2400      7    8     21   23    6            
2785      8    9     22   24    7              
3209      8    9     23   25    7              
3672      8    9     24   26    7                 
4177      8    10    25   27    7                 
4726      8    10    26   28    7                  
5320      9    10    27   29    8                  
5961      9    11    28   30    8                  
6651      9    11    28   30    8                  
7391      9    11    29   31    8                   
8182      9    12    30   32    8                    
9028      9    12    31   33    9                      
9929      10   12    32   34    9                   
10886     10   13    33   35    9                    
11902     10   13    34   36    9                    
12979     10   13    35   37    9                  
14117     10   14    36   38    10                
15319     11   14    37   39    10                   
16586     11   14    38   40    10                   
17919     11   15    38   40    10                   
19321     11   15    39   41    10                  
20793     11   15    40   42    11                  
22337     12   16    41   43    11                   
23954     12   16    42   44    11                    
25645     12   16    43   45    11                    
27413     12   17    44   46    11                   
29259     12   17    45   47    12                     
31185     12   17    46   48    12                   
33192     13   18    47   49    12                
35282     13   18    48   50    12                    
37456     13   18    48   50    12                    
39176     13   19    49   51    13                   
42063     13   19    50   52    13                    
44500     13   19    51   53    13                  
47028     14   20    52   54    13                       
49647     14   20    53   55    13                           
52361     14   20    54   56    14                           
55169     14   21    55   57    14                             
58075     14   21    56   58    14                            
61079     14   21    57   59    14                            
64184     15   22    58   60    14                       
67390     15   22    58   60    15                           
70699     15   22    59   61    15                           
74112     15   23    60   62    15                         
77632     15   23    61   63    15                     
81260     15   23    62   64    15                         
84997     16   24    63   65    16                             
88845     16   24    64   66    16                             
92085     16   24    65   67    16                            
96879     16   25    66   68    16                      
101069    16   25    67   69    16                            
105375    17   25    68   70    17                               
109800    17   26    68   70    17                                 
114346    17   26    69   71    17                             
119012    17   26    70   72    17                          
123802    17   27    71   73    17                          
128716    18   27    72   74    18                                
133756    18   27    73   75    18                               
138924    18   28    74   76    18                                
144221    18   28    75   77    18                                   
149649    18   28    76   78    18                                 
155209    19   29    77   79    19                               
160902    19   29    78   80    19                           
166731    19   29    78   81    19                          
172696    19   30    79   82    19                             
178799    19   30    80   83    19                                      
185042    20   30    81   84    20                                
191246    20   31    82   85    20                                
197953    20   31    83   86    20                             
204624    20   31    84   87    20                               
211440    20   32    85   88    20                                
218403    21   32    86   89    21                                  
225515    21   32    87   90    21                                 
232777    21   33    88   90    21                             
240191    21   33    88   91    21                           
247758    21   33    89   92    21                                     
255479    22   34    90   93    22                                 
263356    22   34    91   94    22                                  
271390    22   34    92   95    22                                   
279584    22   35    93   96    22                                  
287938    22   35    94   97    22                                      
296453    23   35    95   98    23                                       
305132    23   36    96   99    23                                     
313976    23   36    97   99    23                                          

