Nxt       STR  DEF   MAG  MGR   SPD   
50        10   5     2    2     5
84        11   6     2    3     5
132       12   7     3    3     5
195       13   8     3    4     5
274       14   9     4    5     5
373       15   10    4    6     6
492       16   10    5    6     6 
633       17   11    5    7     6
798       18   12    6    8     6
990       19   13    6    9     6
1209      20   14    7    9     7
1458      20   15    7    10    7
1738      21   15    8    11    7
2052      22   16    8    12    7
2400      23   17    9    12    7
2785      24   18    9    13    8
3209      25   19    10   14    8
3672      26   20    10   15    8
4177      27   20    11   15    8
4726      28   21    12   16    8
5320      29   22    12   17    9
5961      30   23    13   18    9
6651      30   24    13   18    9
7391      31   25    14   19    9
8182      32   26    14   20    9
9028      33   27    15   21    10
9929      34   28    15   21    10
10886     35   29    16   22    10
11902     36   30    16   23    10
12979     37   30    17   24    10
14117     38   31    17   24    11
15319     39   32    18   25    11
16586     40   33    18   26    11
17919     40   34    19   27    11
19321     41   35    19   27    11
20793     42   35    20   28    12
22337     43   36    20   29    12
23954     44   37    21   30    12
25645     45   38    21   30    12
27413     46   39    22   31    12
29259     47   40    22   32    13
31185     48   40    23   33    13
33192     49   41    23   33    13
35282     50   42    24   34    13
37456     50   43    24   35    13
39176     51   44    25   36    14
42063     52   45    26   36    14
44500     53   45    26   37    14
47028     54   46    27   38    14
49647     55   47    27   39    14
52361     56   48    28   39    15
55169     57   49    28   40    15
58075     58   50    29   41    15
61079     59   50    29   42    15
64184     60   51    30   42    15
67390     60   52    30   43    16
70699     61   53    31   44    16
74112     62   54    31   45    16
77632     63   55    32   45    16
81260     64   55    32   46    16
84997     65   56    33   47    17
88845     66   57    33   48    17
92085     67   58    34   48    17
96879     68   59    34   49    17
101069    69   60    35   50    17
105375    70   60    35   51    18
109800    70   61    36   51    18
114346    71   62    36   52    18
119012    72   63    37   53    18
123802    73   64    37   54    18
128716    74   65    38   54    19
133756    75   65    38   55    19
138924    76   66    39   56    19
144221    77   67    39   57    19
149649    78   68    40   57    19
155209    79   69    40   58    20
160902    80   70    41   59    20
166731    80   70    41   60    20
172696    81   71    42   60    20
178799    82   72    42   61    20
185042    83   73    43   62    21
191246    84   74    43   63    21
197953    85   75    44   63    21
204624    86   75    44   64    21
211440    87   76    45   65    21
218403    88   77    45   66    22
225515    89   78    46   66    22
232777    90   79    46   67    22
240191    90   80    47   68    22
247758    91   80    47   69    22
255479    92   81    48   69    23
263356    93   82    48   70    23
271390    94   83    49   71    23
279584    95   84    49   72    23 
287938    96   85    50   72    23
296453    97   86    50   73    24
305132    98   87    51   74    24
313976    99   88    51   75    24

