Name             STR  DEF  MAG  MGR  DOD  HIT  SPD  LUC  PI PART
Bronze_Bangle    0    8    0    0    0    0    0    0    8  2
Iron_Bangle      0    10   0    2    0    0    0    0    8  2
Titan_Bangle     0    14   0    4    2    0    0    0    8  2
Mythril_Armlet   0    18   0    4    2    0    0    0    8  2
Fed_Belt         0    30   0    0    0    0    0    0    8  2
Carbon_Bangle    0    27   0    3    0    0    0    0    8  2
Platinum_Bangle  0    20   0    0    12   0    0    0    8  2
Silver_Armlet    0    34   0    22   4    0    0    0    8  2
Gold_Armlet      0    46   0    28   4    0    0    0    8  2
Edincoat         0    50   0    33   0    0    0    0    8  2
Adaman_Bangle    0    93   0    23   0    0    0    0    8  2
Dragon_Armlet    0    58   0    47   3    0    0    0    8  2
Gigas_Armlet     30   59   0    0    0    0    0    0    8  2
Diamond_Bangle   0    57   0    37   6    0    0    0    8  2
Rune_Armor       0    43   0    24   5    0    0    0    8  2
Aurora_Armlet    0    76   0    54   8    0    0    0    8  2
Wizard_Bracelet  0    6    20   85   3    0    0    0    8  2
Fire_Armlet      0    74   0    55   8    0    0    0    8  2  
Bolt_Armlet      0    72   0    52   8    0    0    0    8  2
Crystal_Bangle   0    70   0    45   8    0    0    0    8  2
Force_Bracelet   0    74   20   45   8    0    0    0    8  2
Imperial_Guard   0    82   0    74   0    0    0    0    8  2
Warrior_Bangle   20   96   0    21   0    0    0    0    8  2
Fed_Alpha        0    77   0    34   0    0    0    0    8  2
Ziedrich         20   100  20   98   15   0    0    0    8  2
Minerva_Band     0    60   0    57   8    0    0    0    8  2
Escort_Guard     0    62   0    55   0    0    0    0    8  2
Aegis_Armlet     0    55   0    86   15   0    0    0    8  2
Mystile          0    65   0    72   50   0    0    0    8  3
Star_Pendant     0    0    0    0    0    0    0    0    8  3
Fury_Ring        0    0    0    0    0    0    0    0    8  3
Ribbon           0    0    0    0    0    0    0    0    8  3
Talisman         0    0    0    0    0    0    0    0    8  3
Protect_Vest     0    10   0    0    0    0    0    0    8  3
Power_Wrist      10   0    0    0    0    0    0    0    8  3
Silver_Glasses   0    0    0    0    0    0    0    0    8  3
Head_Band        0    0    0    0    0    0    0    0    8  3
White_Cape       0    0    0    0    0    0    0    0    8  3
Fire_Ring        0    0    0    0    0    0    0    0    8  3   
Bolt_Ring        0    0    0    0    0    0    0    0    8  3
Fairy_Ring       0    0    0    0    0    0    0    0    8  3
Jewel_Ring       0    0    0    0    0    0    0    0    8  3
Peace_Ring       0    0    0    0    0    0    0    0    8  3
Ice_Ring         0    0    0    0    0    0    0    0    8  3
Water_Ring       0    0    0    0    0    0    0    0    8  3
Circlet          0    0    30   0    0    0    0    0    8  3
Safety_Bit       0    0    0    0    0    0    0    0    8  3
Protect_Ring     0    0    0    0    0    0    0    0    8  3
Poison_Ring      0    0    0    0    0    0    0    0    8  3
Reflect_Ring     0    0    0    0    0    0    0    0    8  3
Tetra_Elemental  0    0    0    0    0    0    0    0    8  3
Amulet           0    0    0    0    0    0    0    10   8  3
Cursed_Ring      35   15   35   0    0    0    15   10   8  3
Champion_Belt    30   30   0    0    0    0    0    0    8  3
Toughness_Ring   0    0    0    0    0    0    50   0    8  3
Broad_Sword      18   0    0    0    0    96   0    0    1  1
Mythril_Saber    23   0    4    0    0    98   0    0    1  1
Hardedge         32   0    6    0    0    98   0    0    1  1
Force_Stealer    36   0    7    0    0    98   0    0    1  1
Butterfly_Edge   39   0    8    0    0    100  0    0    1  1
Rune_Blade       40   0    9    0    0    108  0    0    1  1
